"kp_id","id","id_concatenado","region","site","addres","pais","state","city","horario","prioritario","criticidad","inmueble","hrequerimientos","horasxdias","mes"
"11","201","201-SECCION:SLP TERM. INTERMODAL-ADUANA","CENTRO","AGUASCALIENTES","TRANSPARQUE EJE 140 KM. 4 , S/N  ENTRE DELEGACION LA PILA COL. ZONA INDUSTRIAL C.P. 78422","MEXICO","SAN LUIS POTOSI","SAN LUIS POTOSI","LS0900-1900","No","NA","2","LS0900-1900","10","Julio"
"12","535","535-SALA PASAJEROS AEROPUERTO SAN LUIS POTOSI","CENTRO","AGUASCALIENTES","KM 9, CARR. SLP-MATEHUALA, DELEGACION SOLEDAD DE GRACIANO SANCHEZ, C.P. 78340","MEXICO","SAN LUIS POTOSI","SAN LUIS POTOSI","LD0000-2400","#N/A","#N/A","0","#N/A","#N/","Julio"
"13","203","203-SECCION:AEROPUERTO ZACATECAS-ADUANA","CENTRO","AGUASCALIENTES","CARR. ZACATECAS-FRESNILLO KM. 24,S/N ,LOCAL 107,COL. CALERA DE VICTOR ROSALES C.P.98500","MEXICO","ZACATECAS","ZACATECAS","LD0000-2400","No","NA","2","LD0000-2400","24","Julio"
"14","2129","2129-MODULO:AGUASCALIENTES CAYPYME-ALR","CENTRO","AGUASCALIENTES","CARR. MEXICO-LEON, JOSE MARIA CHAVEZ #3005","MEXICO","AGUASCALIENTES","AGUASCALIENTES","MI0830-1430","No","NA","3","MI0830-1430","6","Julio"
"15","362","362-SECCION:SLP AEROPUERTO-ADUANA","CENTRO","AGUASCALIENTES","KM. 9 CARRETERA SLP - MATEHUALA DELEGACION SOLEDAD DE GRACIANO SANCHEZ C.P. 78340 ","MEXICO","SAN LUIS POTOSI","SAN LUIS POTOSI","LV0900-1700","No","NA","2","LV0900-1700","8","Julio"
"16","382","382-SECCION:LA PILA VILLA-ADUANA","CENTRO","AGUASCALIENTES","AUTOPISTASAN LUIS POTOSI-VILLA DE REYES KM.6,COL.EJIDO LAGUNAS DE SAN VICENTEC.P.79525","MEXICO","SAN LUIS POTOSI","SAN LUIS POTOSI","LV0900-1800","No","NA","2","LV0900-1800","9","Julio"
"17","392","392-SECCION:CHICALOTE-ADUANA","CENTRO","AGUASCALIENTES","KM 3.5 CARR. CHICALOTE- LORETITO COL. EJIDO LORETITO MUNICIPIO SAN FRANCISCO DE LOS ROMO","MEXICO","AGUASCALIENTES","AGUASCALIENTES","LV0900-2100","No","NA","2","LV0900-2100","12","Julio"
"18","402","402-SECCION:AEROPUERTO AGS-ADUANA","CENTRO","AGUASCALIENTES","CARRETERA AGUASCALIENTES-MEXICO KM. 25 , S/N","MEXICO","AGUASCALIENTES","AGUASCALIENTES","LD0600-2300","No","NA","2","LD0600-2300","17","Julio"
"19","187","187-PRINCIPAL-ALAF","CENTRO","CD. GUZMAN","JOSE CLEMENTE OROZCO #95, COL. CENTRO","MEXICO","JALISCO","CD. GUZMAN","LV0900-1800","No","NA","2","LV0830-1800","9.5","Julio"
"20","187","187-PRINCIPAL-ALJ","CENTRO","CD. GUZMAN","JOSE CLEMENTE OROZCO #95, COL. CENTRO","MEXICO","JALISCO","CD. GUZMAN","LV0900-1800","No","NA","2","LV0830-1800","9.5","Julio"
"21","187","187-PRINCIPAL-ALR","CENTRO","CD. GUZMAN","JOSE CLEMENTE OROZCO #95, COL. CENTRO","MEXICO","JALISCO","CD. GUZMAN","LV0900-1800","No","NA","2","LV0830-1800","9.5","Julio"
"22","187","187-PRINCIPAL-ALSC","CENTRO","CD. GUZMAN","JOSE CLEMENTE OROZCO #95, COL. CENTRO","MEXICO","JALISCO","CD. GUZMAN","LV0830-1800","No","NA","2","LV0830-1800","9.5","Julio"
"23","187","187-PRINCIPAL-CERYS","CENTRO","CD. GUZMAN","JOSE CLEMENTE OROZCO # 95, COL. CENTRO","MEXICO","JALISCO","CIUDAD GUZMAN","LV0900-1800","No","NA","2","LV0830-1800","9.5","Julio"
"24","188","188-MODULO AUDITORIA-CERYS","CENTRO","CD. GUZMAN","REFORMA, 185, COL. CENTRO","MEXICO","JALISCO","CIUDAD GUZMAN","LV0900-0600","No","NA","2","LV0900-1800","9","Julio"
"25","188","188-MODULO:CD.GUZMAN AUDITORIA-ALAF","CENTRO","CD. GUZMAN","REFORMA, 185, COL. CENTRO C.P. 49000","MEXICO","JALISCO","CD. GUZMAN","LV0900-1800","No","NA","2","LV0900-1800","9","Julio"
"26","516","516-MODULO:AUTLAN MAF-MAF","CENTRO","CD. GUZMAN","INDEPENDENCIA NACIONAL #75, INTERIOR 42 PLAZA DEL VALLE, COL. CENTRO, C.P. 48900","MEXICO","JALISCO","AUTLAN DE NAVARRO","LV0900-1500","No","NA","3","LV0900-1500","6","Julio"
"27","505","505-MODULO:SAN MIGUEL ALLENDE UD-MFS","CENTRO","CELAYA","AV DE LA CONSPIRACION # 302 CTO COMERCIAL REG Y ARTESANAL REAL DEL CONDE, LOC BB04-BB05","MEXICO","GUANAJUATO","CELAYA","LV0900-1800","#N/A","#N/A","0","#N/A","#N/","Julio"
"28","209","209-PRINCIPAL-ALAF","CENTRO","CELAYA","JUAN BAUTISTA MORALES #200, ESQ. ANDRES Q. ROO, FRACC. ZONA DE ORO 1","MEXICO","GUANAJUATO","CELAYA","LV0900-1800","No","NA","1","LV0900-1800","9","Julio"
"29","209","209-PRINCIPAL-ALJ","CENTRO","CELAYA","JUAN BAUTISTA MORALES #200, ESQ. ANDRES Q. ROO, FRACC. ZONA DE ORO I","MEXICO","GUANAJUATO","CELAYA","LV0900-1800","No","NA","1","LV0900-1800","9","Julio"
"30","209","209-PRINCIPAL-ALR","CENTRO","CELAYA","JUAN BAUTISTA MORALES #200, ESQ. ANDRES Q. ROO, FRACC. ZONA DE ORO I","MEXICO","GUANAJUATO","CELAYA","LV0900-1800","No","NA","1","LV0900-1800","9","Julio"
"31","209","209-PRINCIPAL-CERYS","CENTRO","CELAYA","JUAN BAUTISTA MORALES #200, ESQ. ANDRES Q. ROO, FRACC. ZONA DE ORO I","MEXICO","GUANAJUATO","CELAYA","LV0900-1800","No","NA","1","LV0900-1800","9","Julio"
"32","209","209-PRINCIPAL-ALSC","CENTRO","CELAYA","JUAN BAUTISTA MORALES #200, ESQ. ANDRES Q. ROO, FRACC. ZONA DE ORO I","MEXICO","GUANAJUATO","CELAYA","LV0800-1800","No","NA","1","LV0900-1800","9","Julio"
"33","209","209-PRINCIPAL-ARACE DEL CENTRO SUBSEDE CELAYA","CENTRO","CELAYA","JUAN BAUTISTA MORALES #200, ESQ. ANDRES Q. ROO, FRACC. ZONA DE ORO I","MEXICO","GUANAJUATO","CELAYA","LV0900-1800","No","NA","1","LV0900-1800","9","Julio"
"34","209","209-PRINCIPAL-SLCTI","CENTRO","CELAYA","JUAN BAUTISTA MORALES #200, ESQ. ANDRES Q. ROO, FRACC. ZONA DE ORO I","MEXICO","GUANAJUATO","CELAYA","LV0900-1800","No","NA","1","LV0900-1800","9","Julio"
"35","518","518-MODULO:ACAMBARO UD-MFS","CENTRO","CELAYA","LEANDRO VALLE #118 C. COM. LAS FUENTES LOC. 105, 106 Y 107 HIDALGO Y MADERO, COL.CENTRO","MEXICO","GUANAJUATO","CELAYA","LV0800-1800","No","NA","3","LV0800-1800","10","Julio"
"36","2039","2039-BODEGA:CH STA.MARIA LA RIVERA-CERYS","CENTRO","CENTRO DEL DF","SANTA MARIA LA RIBERA #28, COL.SANTA MARIA LA RIBERA.","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","No","NA","3","LV0900-1800","9","Julio"
"37","322","322-INMUEBLE: EDIF. SINALOA-CENTRALES","CENTRO","CENTRO DEL DF","SINALOA , 43  ENTRE MONTERREY Y MEDELLIN COL. ROMA C.P. 06700","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","No","NA","1","LV0900-1800","9","Julio"
"38","337","337-INMUEBLE:CUAUHTEMOC-CENTRALES","CENTRO","CENTRO DEL DF","EJE 1 PTE  AV. CUAUHTEMOC NO. 602 COL NARVARTE  DELEGACION BENITO JUAREZ C.P. 03020.","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","No","NA","2","LV0900-1800","9","Julio"
"39","497","497-INMUEBLE: CNM:TORRE CABALLITO-DATA CENTER","CENTRO","CENTRO DEL DF","PASEO DE LA REFORMA 10  COL. TABACALERA, DELEGACION  CUAUHTEMOC MEXICO, D.F.","MEXICO","DISTRITO FEDERAL","CUAUHTEMOC","LD0000-2400","Si","Local","1","LD0000-2400","24","Julio"
"40","497","497-INMUEBLE: TORRE CABALLITO-ALAF","CENTRO","CENTRO DEL DF","AV PASEO DE LA REFORMA NORTE # 10, COL TABACALERA","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","Si","Local","1","LD0000-2400","24","Julio"
"41","497","497-INMUEBLE: TORRE CABALLITO-ALAF","CENTRO","CENTRO DEL DF","AV PASEO DE LA REFORMA NORTE # 10, COL TABACALERA","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","Si","Local","1","LD0000-2400","24","Julio"
"42","497","497-INMUEBLE: TORRE CABALLITO-ALJ","CENTRO","CENTRO DEL DF","AV PASEO DE LA REFORMA NORTE # 10, COL TABACALERA","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","Si","Local","1","LD0000-2400","24","Julio"
"43","497","497-INMUEBLE: TORRE CABALLITO-ALJ","CENTRO","CENTRO DEL DF","AV PASEO DE LA REFORMA NORTE # 10, COL TABACALERA","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","Si","Local","1","LD0000-2400","24","Julio"
"44","497","497-INMUEBLE: TORRE CABALLITO-ALR","CENTRO","CENTRO DEL DF","AV PASEO DE LA REFORMA NORTE # 10, COL TABACALERA","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","Si","Local","1","LD0000-2400","24","Julio"
"45","497","497-INMUEBLE: TORRE CABALLITO-ALR","CENTRO","CENTRO DEL DF","AV PASEO DE LA REFORMA NORTE # 10, COL TABACALERA","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","Si","Local","1","LD0000-2400","24","Julio"
"46","497","497-INMUEBLE: TORRE CABALLITO-ALSC","CENTRO","CENTRO DEL DF","AV PASEO DE LA REFORMA NORTE # 10, COL TABACALERA","MEXICO","DISTRITO FEDERAL","CUAUHTEMOC","LV0800-1800","Si","Local","1","LD0000-2400","24","Julio"
"47","497","497-INMUEBLE: TORRE CABALLITO-CENTRALES","CENTRO","CENTRO DEL DF","AV PASEO DE LA REFORMA NORTE # 10, COL TABACALERA","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","Si","Local","1","LD0000-2400","24","Julio"
"48","497","497-INMUEBLE: TORRE CABALLITO-CENTRALES","CENTRO","CENTRO DEL DF","AV PASEO DE LA REFORMA NORTE # 10, COL TABACALERA","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","Si","Local","1","LD0000-2400","24","Julio"
"49","497","497-INMUEBLE: TORRE CABALLITO-CERYS","CENTRO","CENTRO DEL DF","AV PASEO DE LA REFORMA NORTE # 10, COL TABACALERA","MEXICO","DISTRITO FEDERAL","CUAUHTEMOC","LV0900-1800","Si","Local","1","LD0000-2400","24","Julio"
"50","497","497-INMUEBLE: TORRE CABALLITO-SLCTI","CENTRO","CENTRO DEL DF","AV PASEO DE LA REFORMA NORTE # 10, COL TABACALERA","MEXICO","DISTRITO FEDERAL","CUAUHTEMOC","LV0900-1800","Si","Local","1","LD0000-2400","24","Julio"
"51","497","497-INMUEBLE: TORRE CABALLITO-SLCTI","CENTRO","CENTRO DEL DF","AV PASEO DE LA REFORMA NORTE # 10, COL TABACALERA","MEXICO","DISTRITO FEDERAL","CUAUHTEMOC","LV0900-1800","Si","Local","1","LD0000-2400","24","Julio"
"52","1055","1055-MODULO:TECOMAN MAF-MAF","CENTRO","COLIMA","CALLE OCAMPO ESQ. REFORMA S/N COL. CENTRO","MEXICO","COLIMA","TECOMAN","LV0900-1800","No","NA","3","LV0900-1800","9","Julio"
"53","190","190-PRINCIPAL-ALAF","CENTRO","COLIMA","CENTRO EJECUTIVO-AV. CAMINO REAL # 1003, NIVEL 2, COL. EL DIEZMO, C.P. 28010","MEXICO","COLIMA","COLIMA","LV0800-1800","No","NA","2","LV0800-1800","10","Julio"
"54","190","190-PRINCIPAL-ALJ","CENTRO","COLIMA","CENTRO EJECUTIVO-AV. CAMINO REAL # 1003, PLANTA BAJA, COL. EL DIEZMO, C.P. 28010","MEXICO","COLIMA","COLIMA","LV0800-1800","No","NA","2","LV0800-1800","10","Julio"
"55","190","190-PRINCIPAL-ALR","CENTRO","COLIMA","CENTRO EJECUTIVO-AV. CAMINO REAL # 1003, NIVEL 1, COL. EL DIEZMO, C.P. 28010","MEXICO","COLIMA","COLIMA","LV0800-1800","No","NA","2","LV0800-1800","10","Julio"
"56","190","190-PRINCIPAL-ALSC","CENTRO","COLIMA","EDIFICIO ANEXO-AV. CAMINO REAL # 1003, COL. EL DIEZMO, C.P. 28010","MEXICO","COLIMA","COLIMA","LV0800-1800","No","NA","2","LV0800-1800","10","Julio"
"57","190","190-PRINCIPAL-CERYS","CENTRO","COLIMA","CENTRO EJECUTIVO-AV. CAMINO REAL # 1003, PLANTA BAJA, COL. EL DIEZMO, C.P. 28010","MEXICO","COLIMA","COLIMA","LV0800-1800","No","NA","2","LV0800-1800","10","Julio"
"58","190","190-PRINCIPAL-SLCTI","CENTRO","COLIMA","CENTRO EJECUTIVO-AV. CAMINO REAL # 1003, PLANTA BAJA, COL. EL DIEZMO, C.P. 28010","MEXICO","COLIMA","COLIMA","LV0800-1800","No","NA","2","LV0800-1800","10","Julio"
"59","191","191-SUBSEDE COLIMA - SRS","CENTRO","COLIMA","FRANCISCO HERNANDEZ ESPINOSA , 647  COL. CAMINO REAL C.P. 28040","MEXICO","COLIMA","COLIMA","LV0800-1800","No","NA","3","LV0800-1800","10","Julio"
"60","199","199-SUBSEDE MANZANILLO","CENTRO","COLIMA","BOULEVARD MIGUEL DE LA MADRID NO. 426 INTERIOR A6 Y A77, COLONIA TAPEIXTLES C.P. 28239","MEXICO","COLIMA","MANZANILLO","LV0800-1800","Si","Aduana","3","LV0800-1800","10","Julio"
"61","2037","2037-BODEGA:COLIMA ZARCO-CERYS","CENTRO","COLIMA","GREGORIO TORRES QUINTERO NO. 227, COL. CENTRO, COLIMA, COL.","MEXICO","COLIMA","COLIMA","LV0900-1800","No","NA","3","LV0900-1800","9","Julio"
"62","2038","2038-BODEGA:COLIMA COLON-CERYS","CENTRO","COLIMA","CRISTOBAL COLON S/N, ENTRE LAS CALLES TIJUANA Y REPUBLICA, COL. MOCTEZUMA","MEXICO","COLIMA","COLIMA","LV0900-1800","No","NA","3","LV0900-1800","9","Julio"
"63","323","323-INMUEBLE: LUCAS ALAMAN-CENTRALES","CENTRO","CONJUNTO HIDALGO","LUCAS ALAMAN , 160  ENTRE 5 DE FEBRERO Y TLALPAN COL. OBRERA C.P. 06800","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","No","NA","2","LV0900-1800","9","Julio"
"64","2127","2127-ARCHIVO:TRAMITES GC-CENTRALES","CENTRO","CONJUNTO HIDALGO","AV. HIDALGO 77,79 Y 81 CONJUNTO HIDALGO, COL. GUERRERO (MODULO 1)","MEXICO","DISTRITO FEDERAL","CUAUHTEMOC","LV0900-1800","Si","Local","3","LV0900-1800","9","Julio"
"65","310","310-MODULO:TRAMITES GC-CENTRALES","CENTRO","CONJUNTO HIDALGO","AV. HIDALGO 77,79 Y 81 CONJUNTO HIDALGO, COL. GUERRERO (MODULO 1)","MEXICO","DISTRITO FEDERAL","CUAUHTEMOC","LV0900-0600","Si","Local","1","LV0900-1800","9","Julio"
"66","310","310-MODULO:TRAMITES GC-CENTRALES","CENTRO","CONJUNTO HIDALGO","AV. HIDALGO 77,79 Y 81 CONJUNTO HIDALGO, COL. GUERRERO (MODULO 1)","MEXICO","DISTRITO FEDERAL","CUAUHTEMOC","LV0900-0600","Si","Local","1","LV0900-1800","9","Julio"
"67","321.1","321.1-INMUEBLE: BANCEN MODULO 1-CENTRALES","CENTRO","CONJUNTO HIDALGO","AV. HIDALGO 77,79 Y 81 CONJUNTO HIDALGO, COL. GUERRERO (MODULO 1)","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","Si","Local","1","LV0900-1800","9","Julio"
"68","321.2","321.2-INMUEBLE: BANCEN MODULO 2-CENTRALES","CENTRO","CONJUNTO HIDALGO","AV. HIDALGO 77,79 Y 81 CONJUNTO HIDALGO, COL. GUERRERO (MODULO 2)","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","Si","Local","1","LV0900-1800","9","Julio"
"69","321.3","321.3-INMUEBLE: BANCEN MODULO 3-CENTRALES","CENTRO","CONJUNTO HIDALGO","AV. HIDALGO 77,79 Y 81 CONJUNTO HIDALGO, COL. GUERRERO (MODULO 3)","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","Si","Local","1","LV0900-1800","9","Julio"
"70","321.4","321.4-INMUEBLE: BANCEN MODULO 4-CENTRALES","CENTRO","CONJUNTO HIDALGO","AV. HIDALGO 77,79 Y 81 CONJUNTO HIDALGO, COL. GUERRERO (MODULO 4)","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","Si","Local","1","LV0900-1800","9","Julio"
"71","321.5","321.5-INMUEBLE: BANCEN MODULO 5-CENTRALES","CENTRO","CONJUNTO HIDALGO","AV. HIDALGO 77,79 Y 81 CONJUNTO HIDALGO, COL. GUERRERO (MODULO 5)","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","Si","Local","1","LV0900-1800","9","Julio"
"72","321.6","321.6-INMUEBLE: BANCEN MODULO 6-CENTRALES","CENTRO","CONJUNTO HIDALGO","AV. HIDALGO 77,79 Y 81 CONJUNTO HIDALGO, COL. GUERRERO (MODULO 6)","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","Si","Local","1","LV0900-1800","9","Julio"
"73","321.7","321.7-INMUEBLE: BANCEN MODULO 7-CENTRALES","CENTRO","CONJUNTO HIDALGO","AV. HIDALGO 77,79 Y 81 CONJUNTO HIDALGO, COL. GUERRERO (MODULO 7)","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","Si","Local","1","LV0900-1800","9","Julio"
"74","321.8","321.8-INMUEBLE: BANCEN MODULO 8-CENTRALES","CENTRO","CONJUNTO HIDALGO","AV. HIDALGO 77,79 Y 81 CONJUNTO HIDALGO, COL. GUERRERO (MODULO 8)","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","Si","Local","1","LV0900-1800","9","Julio"
"75","332","332-ALMACEN HEROES-CENTRALES","CENTRO","CONJUNTO HIDALGO","HEROES , 44  ENTRE VIOLETA Y MINA COL. GUERRERO C.P. 06300","MEXICO","DISTRITO FEDERAL","CUAHUTEMOC","LV0900-1800","No","NA","3","LV0900-1800","9","Julio"
"76","404","404-INMUEBLE:C2 ADUANAS MODULO 4 - CENTRALES","CENTRO","CONJUNTO HIDALGO","AV. HIDALGO 77,79 Y 81 CONJUNTO HIDALGO, COL. GUERRERO (MODULO 4 PB)","MEXICO","DISTRITO FEDERAL","CUAUHTEMOC","LV0900-0600","Si","Local","1","LV0900-1800","9","Julio"
"77","405","405-INMUEBLE:MOCTEZUMA-CENTRALES","CENTRO","CONJUNTO HIDALGO","ORIENTE 142 #217, COL. MOCTEZUMA, SEGUNDA SECCION, DEL. VENUSTIANO CARRANZA  ","MEXICO","DISTRITO FEDERAL","VENUSTIANO CARRANZA","LV0900-1800","No","NA","2","LV0900-1800","9","Julio"
"78","2025","2025-MODULO:JIUTEPEC-MAF","CENTRO","CUERNAVACA","CALZ. DE LOS GALLOS #98, COL. TEJALPA","MEXICO","MORELOS","JIUTEPEC","LV0800-1800","Si","Local","3","LV0800-1800","10","Julio"
"79","2040","2040-BODEGA:CUERNAVACA 20NOV-CERYS","CENTRO","CUERNAVACA","CALLE 20 DE NOVIEMBRE #15, COL. TEZONTEPEC","MEXICO","MORELOS","CUERNAVACA","LV0900-1800","Si","Local","3","LV0900-1800","9","Julio"
"80","267","267-PRINCIPAL-ALAF","CENTRO","CUERNAVACA","PASEO DEL CONQUITADOR NO. 224-226 COL. MARAVILLAS","MEXICO","MORELOS","CUERNAVACA","LV800-1800","Si","Local","2","LV0800-1800","10","Julio"
"81","267","267-PRINCIPAL-ALJ","CENTRO","CUERNAVACA","PASEO DEL CONQUISTADOR #224-226, COL. MARAVILLAS","MEXICO","MORELOS","CUERNAVACA","LV0800-1800","Si","Local","2","LV0800-1800","10","Julio"
"82","267","267-PRINCIPAL-ALR","CENTRO","CUERNAVACA","PASEO DEL CONQUISTADOR #224-226, COL. MARAVILLAS","MEXICO","MORELOS","CUERNAVACA","LV0800-1800","Si","Local","2","LV0800-1800","10","Julio"
"83","267","267-PRINCIPAL-ALSC","CENTRO","CUERNAVACA","PASEO DEL CONQUISTADOR #224-226, COL. MARAVILLAS","MEXICO","MORELOS","CUERNAVACA","LV0800-1800","Si","Local","2","LV0800-1800","10","Julio"
"84","267","267-PRINCIPAL-CERYS","CENTRO","CUERNAVACA","PASEO DEL CONQUISTADOR #224-226, COL. MARAVILLAS","MEXICO","MORELOS","CUERNAVACA","LV0800-1800","Si","Local","2","LV0800-1800","10","Julio"
"85","267","267-PRINCIPAL-SLCTI","CENTRO","CUERNAVACA","PASEO DEL CONQUISTADOR #224-226, COL. MARAVILLAS","MEXICO","MORELOS","CUERNAVACA","LV0800-1800","Si","Local","2","LV0800-1800","10","Julio"
"86","386","386-MODULO:CUAUTLA UD-MFS","CENTRO","CUERNAVACA","CONSPIRADORES , 5 , DESPACHO 105, ENTRE GALEANA Y NI?O ARTILLERO COL. CENTRO C.P. 62740","MEXICO","MORELOS","CUAUTLA","LV0800-1800","Si","Local","3","LV0800-1800","10","Julio"
"87","181","181-PRINCIPAL-ADUANA","CENTRO","GUADALAJARA","CARRETERA GUADALAJARA-CHAPALA KM. 17.5 , S/NCOL. LAS ANIMAS C.P. 45659","MEXICO","JALISCO","GUADALAJARA","LD0800-2200","Si","Aduana","1","LD0800-2200","14","Julio"
"88","196","196-MODULO:AERP.SALA SERV.ADU-ADUANA","CENTRO","GUADALAJARA","CARRETERA GUADALAJARA-CHAPALA KM. 17.5 , S/N  COL. LAS ANIMAS C.P. 45659","MEXICO","JALISCO","GUADALAJARA","LD0000-2400","Si","Aduana","3","LD0000-2400","24","Julio"
"89","204","204-SECCION:AEROPUERTO PTO.VALLART-ADUANA","CENTRO","GUADALAJARA","INTERIOR APTO GUSTAVO DIAZ ORDAZ KM7.5 COL.VILLA LAS FLORES CP48311 PTO VALLARTA JALISCO","MEXICO","JALISCO","GUADALAJARA","LD0000-2400","Si","Aduana","2","LD0000-2400","24","Julio"
"90","205","205-SECCION:INTERMODAL FERROVIARIA-ADUANA","CENTRO","GUADALAJARA","AV. DR. ROBERTO MICHEL 1780 COL. ATLAS CP 44870 GUADALAJARA JALISCO","MEXICO","JALISCO","GUADALAJARA","LV0900-1800","Si","Aduana","2","LV0900-1800","9","Julio"
"91","182","182-PRINCIPAL-ALAF","CENTRO","GUADALAJARA CENTRO","AV. AMERICAS, 1221, TORRE A, COL. CIRCUNVALACION AMERICAS C.P. 44620","MEXICO","JALISCO","GUADALAJARA","LV0900-1800","Si","Local","1","LV0830-1800","9.5","Julio"
"92","182","182-PRINCIPAL-ALJ","CENTRO","GUADALAJARA CENTRO","AV. AMERICAS, 1221, TORRE A, COL. CIRCUNVALACION AMERICAS.","MEXICO","JALISCO","GUADALAJARA","LV0900-1800","Si","Local","1","LV0830-1800","9.5","Julio"
"93","182","182-PRINCIPAL-ALR","CENTRO","GUADALAJARA CENTRO","AV. AMERICAS, 1221, TORRE A, COL. CIRCUNVALACION AMERICAS","MEXICO","JALISCO","GUADALAJARA","LV0900-1800","Si","Local","1","LV0830-1800","9.5","Julio"
"94","182","182-PRINCIPAL-ALSC","CENTRO","GUADALAJARA CENTRO","AV. AMERICAS, 1221, TORRE A, COL. CIRCUNVALACION AMERICAS","MEXICO","JALISCO","GUADALAJARA","LV0830-1800","Si","Local","1","LV0830-1800","9.5","Julio"
