"clave_unica","zona","estado","domicilio","id_loc","ps1","ps2","ps3","ps4","ps5","ps6","ps7","vol","facturacion","mes"
"83","NORTE","BAJA CALIFORNIA SUR","FRANCISCO I. MADERO NO.36 ENTRE BENITO JU?REZ E IGNACIO ZARAGOZA 36, COL. CENTRO C.P. 23600, ?NICO PISO, CONSTITUCI?N, BAJA CALIFORNIA SUR, REFERENCIA: A 1/2 CUADRA DE LAS OFICINAS DE TELMEX",,"3","2","0","0","0","0","0","5","2665.03","Julio"
"84","SUR","PUEBLA","PLAZA CORREGIDORA 21, COL. ZONA CENTRO C.P. 73160, PLANTA BAJA, HUAUCHINANGO, PUEBLA, REFERENCIA: ENTRE CALLES COL?N Y RAY?N",,"2","5.7419","0","1","1","0","0","9.7419","4991.444697","Julio"
"85","SUR","TABASCO","SIMON SARLAT S/N, COL. CENTRO C.P. 86991, PB, EMILIANO ZAPATA, TABASCO, REFERENCIA: VICENTE GUERRERO Y 5 DE MAYO",,"0","2","0","0","0","0","0","2","935.26","Julio"
"86","NORTE","CHIHUAHUA","MORELOS  646, COL. CENTRO C.P. 31500, SEGUNDO PISO, CUAUHTEMOC, CHIHUAHUA, REFERENCIA: CASI ESQUINA CON CALLE SEXTA ORIENTE",,"6","3","0","1","3","0","0","13","7168.79","Julio"
"87","CENTRO","JALISCO","NICOLAS BRAVO # 33 COLONIA CENTRO CP 47750 ATOTONILCO JALISCO",,"3","0","0","0","0","0","0","3","1729.77","Julio"
"88","CENTRO","MICHOACAN","MIGUEL HIDALGO ORIENTE #56, COL. CUAUHTEMOC, C.P. 61506, ZITACUARO MICHOACAN, ENTRE SALAZAR y ANDRES LANDA Y PI?A",,"2","3.0323","0","0","0","0","0","5.0323","2571.174449","Julio"
"89","NORTE","CHIHUAHUA","BLVD. JUAN PABLO II KM. 14.5,S/N AEROPUERTO DE CHIHUAHUA S/N, COL. AEROPUERTO C.P. 31320, PLANTA BAJA,  DEL.  AEROPUERTO DE CHIHUAHUA, CHIHUAHUA, CHIHUAHUA, REFERENCIA: ADUANA AREA DE CARGA FRENTE A OMA",,"0","5.9355","0","0","0","0","0","5.9355","2775.617865","Julio"
"90","CENTRO","HIDALGO","PLAZA JUAREZ  3 INTERIOR NO. 14 (PASAJE COMERCIAL) COL. CENTRO ACTOPAN HGO. C.P. 42500",,"3","0","0","0","0","0","0","3","1729.77","Julio"
"91","NORTE","CHIHUAHUA","PERIFERICO DE LA JUVENTUD Y C. AMERICAS, EDIFICIO 14 SAT S/N, COL. PARQUE INDUSTRIAL LAS AMERICAS C.P. 31201, PB,  DEL.  PARQUE INDUSTRIAL LAS AMERICAS, CHIHUAHUA, CHIHUAHUA, REFERENCIA: EDIFICIO 14 SAT X C. WASHINGTON HACIA PERIFERICO DE LA JUVENTUD.",,"0","3.7742","0","0","0","0","0","3.7742","1764.929146","Julio"
"92","CENTRO","SAN LUIS POTOSI","ABASOLO NO. 518 PASAJE MARIA LUISA CP 79000",,"8","2","0","1","0","0","0","11","6124.57","Julio"
"93","SUR","OAXACA","BOULEVARD BENITO JUAREZ, MULTIPLAZA LOCAL 62 795, COL. FRACC. LOC ANGELES PRIMERA ETAPA C.P. 68370, PLANTA BAJA, SAN JUAN BAUTISTA TUXTEPEC, OAXACA, REFERENCIA:",,"4","9","0","1","0","0","0","14","7091.62","Julio"
"94","SUR","YUCATAN","AV. AVIACION INTERIOR AEROPUERTO INTERNACIONAL  S/N, COL. SAMBULA C.P. 97250, PLANTA BAJA, MERIDA, YUCATAN, REFERENCIA: INTERIOR AEROPUERTO INTERNACIONAL",,"1.4194","2","0","0","0","0","0","3.4194","1753.671846","Julio"
"95","SUR","TAMAULIPAS","SERVANDO CANALES #101 ORIENTE, DEPTO. 3 101, N?MERO INTERIOR  3, COL. CENTRO C.P. 89000, PRIMER PISO, CD. MANTE, TAMAULIPAS, REFERENCIA: ENTRE HIDALGO Y OCAMPO",,"4","1","0","0","0","0","0","5","2773.99","Julio"
"96","CENTRO","GUANAJUATO","SOPE?A 1 ALTOS ENTRE JARDIN Y UNION PALACIO FEDERAL, ZONA CENTRO, CP 36000",,"1","0","0","0","0","0","0","1","576.59","Julio"
